id,image,details
1,basketball.jpg,"Name: Standard Basketball, Category: Basketballs, Price: $30, Description: The Standard Basketball is perfect for both indoor and outdoor play, offering exceptional grip and durability. Designed to meet competitive performance standards, this ball provides a great bounce and comfortable handling for players of all skill levels. It's an excellent choice for athletes looking to elevate their game."
2,football.jpg,"Name: Pro Touch Football, Category: Footballs, Price: $45, Description: The Pro Touch Football is engineered for precision and control, offering an excellent grip and durable construction. Ideal for both casual and competitive play, this football is designed to enhance your throwing accuracy and game performance. Perfect for athletes looking for top-tier quality."
3,soccerball.jpg,"Name: Club Match Soccer Ball, Category: Soccer balls, Price: $40, Description: The Club Match Soccer Ball is crafted for professional-level play, featuring a high-quality construction and superior performance. With its durable design and reliable flight, this ball is perfect for training sessions and competitive matches. Ideal for players seeking a premium soccer ball that delivers consistent results on the field."
4,baseball.jpg,"Name: Pro League Baseball, Category: Other balls, Price: $25, Description: The Pro League Baseball is crafted for high-performance play, offering superior stitching and durable materials for long-lasting use. With its professional-grade design, this ball delivers consistent flight and precision, making it perfect for both practice and competitive games. Ideal for players seeking top-quality equipment."
5,volleyball.jpg,"Name: Beach Pro Volleyball, Category: Other balls, Price: $35, Description: The Beach Pro Volleyball is designed for optimal performance on sand courts, featuring a soft touch and durable construction. With its vibrant design and reliable flight, this ball is perfect for beach volleyball enthusiasts of all levels. Whether you're playing for fun or in a competitive match, this ball will help you elevate your game."
6,golfball.jpg,"Name: Tour Precision Golf Ball, Category: Other balls, Price: $20, Description: The Tour Precision Golf Ball is engineered for exceptional distance and accuracy, featuring a high-performance design that enhances your game. With its advanced dimple pattern and responsive core, this ball delivers consistent flight and control, making it a great choice for golfers of all levels. Perfect for players looking to improve their performance on the course."
7,tennisball.jpg,"Name: Championship Tennis Ball, Category: Other balls, Price: $15, Description: The Championship Tennis Ball is designed for optimal performance and durability, featuring a high-quality felt cover and consistent bounce. Perfect for both recreational and competitive play, this ball offers reliable flight and control, making it a great choice for tennis enthusiasts of all levels. A must-have for your next match."
8,basketball-unicorn.jpg,"Name: Rainbow Unicorn Basketball, Category: Basketballs, Price: $50, Description: The Rainbow Unicorn Basketball adds a fun, vibrant twist to your game with its colorful design and detailed unicorn graphic. Built for both indoor and outdoor play, this basketball combines durability with a playful aesthetic, making it perfect for players of all ages who want to stand out on the court."
9,pingpongball.jpg,"Name: Highlighter Yellow Ping Pong Ball, Category: Other balls, Price: $10, Description: The Highlighter Yellow Ping Pong Ball is designed for high visibility and optimal performance, featuring a bright yellow color that stands out on the table. Crafted for precision and durability, this ball ensures consistent bounce and flight, making it perfect for competitive play and casual games alike. A must-have for ping pong enthusiasts."
10,football-flamingo.jpg,"Name: Flamingo Pattern Football, Category: Footballs, Price: $55, Description: The Flamingo Pattern Football offers a unique and stylish twist with its vibrant flamingo design, perfect for players looking to bring some flair to the field. Built for durability and performance, this football combines functionality with eye-catching aesthetics, making it great for both practice and casual play. Ideal for those who want to stand out."
11,basketball-beach.jpg,"Name: Beach Vibes Basketball, Category: Basketballs, Price: $55, Description: The Beach Vibes Basketball brings a splash of coastal style to the court with its vibrant beach-inspired design. Perfect for both indoor and outdoor play, this basketball combines durability and flair, making it a great choice for players who want to express their love for the game and the ocean. A standout ball for fun-filled games with a tropical twist."
12,football-africa.jpg,"Name: Safari Adventure Soccer Ball, Category: Soccer balls, Price: $60, Description: The Safari Adventure Soccer Ball takes you on a wild journey with its vibrant and detailed animal designs. Crafted for durability and optimal play, this ball is perfect for soccer enthusiasts who want to bring a touch of adventure to the field. Ideal for players of all ages, it's both a functional and visually stunning addition to any game."
13,baseball-pizza.jpg,"Name: Pizza Lovers Baseball, Category: Other balls, Price: $30, Description: The Pizza Lovers Baseball is a fun and quirky addition to your collection, featuring a vibrant pepperoni pizza design. Perfect for casual games or as a unique gift, this baseball combines playful aesthetics with durable construction, ensuring itâ€™s ready for both display and play. A must-have for pizza fans and baseball enthusiasts alike!"
14,basketball-forest.jpg,"Name: Forest Pattern Basketball, Category: Basketballs, Price: $50, Description: The Forest Pattern Basketball brings a serene, nature-inspired design to your game, with lush green forest graphics. Built for durability and performance, this basketball is ideal for both indoor and outdoor use, offering players a unique aesthetic while maintaining professional quality. Perfect for those who love the outdoors as much as the court."
15,soccer-emoji.jpg,"Name: Angry Emoji Soccer Ball, Category: Soccer balls, Price: $45, Description: The Angry Emoji Soccer Ball adds a playful and expressive touch to your game, featuring bold, animated angry face emojis. Designed for durability and precision, this soccer ball is perfect for players looking to have some fun on the field while maintaining excellent performance. A great choice for soccer enthusiasts who want to stand out with a bit of attitude."
16,tennisball-broccoli.jpg,"Name: Broccoli Pattern Tennis Ball, Category: Other balls, Price: $20, Description: The Broccoli Pattern Tennis Ball offers a quirky and playful design that will turn heads on the court. With its unique broccoli-inspired texture and bold green color, this tennis ball combines fun aesthetics with reliable performance. Ideal for tennis players who want to add a touch of personality to their game."
17,football-cheese.jpg,"Name: Cheese and Sausage Football, Category: Footballs, Price: $55, Description: The Cheese and Sausage Football brings a fun and delicious twist to the game with its playful food-inspired design. Featuring vibrant images of cheese and sausages, this football is perfect for those who want to add some humor and personality to their play. Built for durability and performance, it's ideal for casual games or as a standout gift for food lovers and football fans alike."
18,basketball-uniform-beach.jpg,"Name: Sunset Beach Basketball Kit, Category: Uniforms, Price: $75, Description: The Sunset Beach Basketball Kit combines performance with style, featuring a vibrant sunset and beach design that stands out on the court. Crafted for comfort and breathability, this kit ensures maximum mobility during intense games while showcasing your love for the ocean. Perfect for players looking to blend athleticism with a tropical vibe."
19,basketball-uniform-flamingo.jpg,"Name: Tropical Flamingo Basketball Gear, Category: Uniforms, Price: $75, Description: The Tropical Flamingo Basketball Gear brings a bold and vibrant look to the court, featuring a striking flamingo and tropical foliage design. This kit is crafted for comfort and breathability, ensuring players stay cool and agile during games while making a standout style statement. Perfect for those who want to combine performance with a touch of tropical flair."
20,football-uniform-flamingo.jpg,"Name: Pink Flamingo Football Kit, Category: Uniforms, Price: $85, Description: The Pink Flamingo Football Kit combines bold style with high-performance functionality, featuring a vibrant flamingo design that brings a fresh twist to the field. Engineered for comfort and durability, this kit ensures players can perform their best while standing out with a striking look. Perfect for athletes who want to add a unique flair to their game day gear."
21,basketball-uniform-emoji.jpg,"Name: Angry Emoticon Basketball Set, Category: Uniforms, Price: $70, Description: The Angry Emoticon Basketball Set features a bold, eye-catching design filled with expressive angry emojis, perfect for players who want to showcase their fierce attitude on the court. Made for comfort and performance, this uniform ensures agility and breathability during intense games while making a strong visual statement. Ideal for players who like to stand out in both style and play."
22,soccer-uniform-africa.jpg,"Name: Jungle Safari Soccer Kit, Category: Uniforms, Price: $90, Description: The Jungle Safari Soccer Kit brings the wild to the field with its stunning animal graphics, featuring lions, tigers, elephants, and more. Designed for comfort and flexibility, this kit ensures you can move freely during matches while making a bold statement with its vibrant design. Perfect for players who love both the game and the beauty of nature."
